timestamp,trans_x,trans_y,trans_z,quat_x,quat_y,quat_z,quat_w
1677762611.602019637,-0.0606732, 0.0943748, 0.00210899,-0.000575071, 0.000169527, 0.00160842, 0.999999
1677762612.602358216,-0.0545073, 0.103119, 0.00119208,-0.000417491, -4.03958e-05, -0.00118258, 0.999999
1677762613.601934699,0.00400321, 0.134804, 0.00218646,-0.000482282, 0.000273378, 7.67769e-05, 1
1677762614.601907663,-0.0550399, 0.0953037, 0.0026924,-0.000616602, 0.000385119, 0.00258668, 0.999996
1677762615.602808338,0.317314, 0.112789, -0.0040754,-0.00201071, -0.0126323, -0.000425369, 0.999918
1677762616.601619709,0.643042, 0.0778658, -0.0210965,-0.000778178, -0.00850009, -0.00432319, 0.999954
1677762617.602253162,1.10533, 0.171016, -0.0108397,0.00686675, -0.00242784, 0.0397191, 0.999184
1677762618.602311385,1.58413, 0.124052, -0.050099,0.0157361, -0.0128398, 0.0166468, 0.999655
1677762619.603306024,2.16056, 0.163453, -0.0340663,0.00507596, -0.00264026, -0.0380799, 0.999258
1677762620.602243091,2.7905, 0.114548, -0.0891375,-0.00160443, 0.0195111, -0.0649748, 0.997695
1677762621.603627248,3.35255, 0.0118886, -0.106436,0.035982, 0.00222355, -0.0468387, 0.998252
1677762622.603418995,3.78941, 0.0108427, -0.115525,-0.0223261, 0.0138647, 0.00565919, 0.999639
1677762623.603886553,4.18508, 0.0358018, -0.221313,0.0229582, 0.029813, 0.00417838, 0.999283
1677762624.603782191,4.63787, 0.00917766, -0.255859,0.0202645, 0.033797, -0.00664907, 0.999201
1677762625.603570900,5.18802, -0.0737157, -0.324574,0.0156447, 0.0296203, -0.0226809, 0.999181
1677762626.603798905,5.60367, -0.0582376, -0.338541,0.0146258, 0.023661, -0.0189544, 0.999433
1677762627.602839225,6.07854, -0.177435, -0.327547,0.022836, 0.000483678, -0.0494475, 0.998516
1677762628.603717892,6.65333, -0.20958, -0.344878,0.031106, -0.00576844, -0.0223483, 0.99925
1677762629.603248779,7.13261, -0.132884, -0.359657,0.0255517, 0.00895254, 0.00221314, 0.999631
1677762630.603798963,7.76463, -0.141846, -0.370429,0.00558496, 0.0141674, 0.0142574, 0.999782
1677762631.603302160,8.30835, -0.234092, -0.426084,0.026327, 0.000368054, -0.00104247, 0.999653
1677762632.602818355,8.69074, -0.19653, -0.439388,0.0214392, 0.00218414, -0.0847893, 0.996166
1677762633.603062762,9.2818, -0.272236, -0.459914,0.00637975, -0.00881186, -0.211733, 0.977267
1677762634.602685666,9.85968, -0.659087, -0.480486,0.0107485, -0.00832544, -0.284369, 0.958619
1677762635.603306184,10.43, -0.921925, -0.506613,0.0215885, -0.0246961, -0.170671, 0.984782
1677762636.603463401,11.0029, -1.14178, -0.49575,0.0237604, -0.0138415, -0.0594758, 0.997851
1677762637.603607461,11.4606, -1.09117, -0.492296,0.0298871, -0.0215067, 0.0253918, 0.998999
1677762638.604232410,11.8083, -1.0422, -0.526623,0.0354186, -0.012118, 0.125589, 0.991376
1677762639.605067234,12.451, -0.761462, -0.485203,0.0343619, -0.0168677, 0.238213, 0.970458
1677762640.603607319,12.7952, -0.546928, -0.488318,0.0318982, -0.020401, 0.282372, 0.958558
1677762641.603973872,13.277, -0.292397, -0.49917,0.0291845, -0.0214975, 0.195134, 0.980107
1677762642.603483904,13.8887, -0.0253833, -0.484019,0.0184172, -0.0352291, 0.128541, 0.990907
1677762643.603071664,14.4829, 0.0703609, -0.514214,0.00218834, -0.0208309, 0.120674, 0.992471
1677762644.604279379,14.9101, 0.112697, -0.530749,0.0117033, -0.018578, 0.0895921, 0.995736
1677762645.604406537,15.1583, 0.140655, -0.513467,0.0111378, -0.0335065, 0.0281528, 0.99898
1677762646.604438877,15.5291, 0.0665288, -0.523886,0.0208081, -0.0267459, -0.0630381, 0.997436
1677762647.603786083,15.7149, 0.0823735, -0.506767,0.0214939, -0.0266581, -0.206365, 0.977876
1677762648.604027977,15.8231, 0.0411517, -0.490691,0.0325154, -0.0254972, -0.372497, 0.927113
1677762649.605999905,16.1823, -0.288683, -0.492273,-0.0048171, -0.0165336, -0.525653, 0.850524
1677762650.504421943,16.2587, -0.588601, -0.517044,-0.0114096, -0.0217165, -0.622707, 0.78207
1677762651.604370433,16.3088, -0.947892, -0.515247,-0.0215651, -0.0336508, -0.770479, 0.636211
1677762652.604031275,16.2296, -1.08821, -0.522362,-0.0166447, -0.0314228, -0.838564, 0.543642
1677762653.603816442,16.1688, -1.28784, -0.506106,0.00814696, 0.0188628, 0.91353, -0.406253
1677762654.604434134,15.8123, -1.62195, -0.528009,0.00236704, 0.0107778, 0.927335, -0.374069
1677762655.604131292,15.6369, -1.83346, -0.51633,0.0168961, 0.0271643, 0.885246, -0.464022
1677762656.604457045,15.6012, -1.92253, -0.536258,-0.00901229, -0.0361525, -0.85013, 0.525252
1677762657.605117232,15.4035, -2.33299, -0.53092,0.000665303, -0.0199626, -0.797216, 0.603364
1677762658.603288146,15.3313, -2.57282, -0.50253,0.00630675, -0.0245437, -0.750586, 0.660287
1677762659.604753669,15.3658, -2.78893, -0.516367,0.00285966, -0.0294595, -0.705687, 0.707905
1677762660.604614470,15.3812, -3.09535, -0.533829,-0.00452111, -0.0314445, -0.674946, 0.737183
1677762661.603224267,15.3795, -3.41203, -0.545993,-0.0104538, -0.0390169, -0.690882, 0.721838
1677762662.605351715,15.4755, -3.89742, -0.511959,-0.00267695, -0.0301808, -0.767048, 0.640874
1677762663.604858171,15.3169, -4.22079, -0.482813,-0.00651351, -0.0333863, -0.827723, 0.560106
1677762664.604634309,15.1214, -4.39764, -0.488001,0.0141978, 0.0389631, 0.88561, -0.462574
1677762665.604798802,14.9446, -4.59547, -0.483957,0.0223362, 0.0312772, 0.938459, -0.343246
1677762666.603331847,14.8253, -4.72818, -0.479202,0.0245721, 0.0297881, 0.97336, -0.226006
1677762667.605156745,14.6737, -4.73405, -0.481496,0.0290159, 0.0316677, 0.988312, -0.146268
1677762668.604411328,14.4457, -4.8631, -0.489505,0.02267, 0.0220698, 0.999499, -0.000809318
1677762669.605490889,14.1954, -4.76398, -0.539002,0.0165422, 0.0232899, 0.992989, 0.114703
1677762670.604175897,13.9063, -4.63391, -0.504506,0.0158045, 0.00676116, 0.955539, 0.294365
1677762671.603838452,13.6602, -4.52724, -0.477583,0.0177559, 0.00770003, 0.895733, 0.444171
1677762672.604506170,13.4617, -4.0359, -0.526534,0.00735836, 0.00581525, 0.847194, 0.531201
1677762673.604590466,13.2364, -3.5123, -0.544902,0.0236408, 0.00335165, 0.84872, 0.528303
1677762674.604246896,13.0217, -3.06922, -0.528504,0.0222822, 0.00357274, 0.858713, 0.511959
1677762675.604047956,12.7911, -2.65891, -0.530357,0.0358504, -0.0084675, 0.82596, 0.562524
1677762676.605202989,12.6276, -2.18543, -0.546647,0.0255714, -0.0169641, 0.747645, 0.663389
1677762677.603412306,12.7505, -1.7068, -0.548839,0.0199104, -0.0076058, 0.638548, 0.769287
1677762678.604949790,12.7234, -1.39144, -0.530419,0.0314294, -0.00470872, 0.550472, 0.834249
1677762679.604165503,13.0262, -1.06386, -0.53306,0.03479, -0.0238954, 0.425524, 0.903962
1677762680.504221020,13.1386, -0.723935, -0.502716,0.0359809, -0.0261846, 0.291779, 0.95545
1677762681.605161107,14.0447, -0.255173, -0.466075,0.038978, -0.0261837, 0.26662, 0.962657
1677762682.603128117,14.4729, -0.137083, -0.480124,0.028215, -0.00559932, 0.192648, 0.980846
1677762683.204943880,14.6942, -0.0252074, -0.494653,0.00997606, -0.0124196, 0.134027, 0.99085
1677762684.603387163,15.1563, 0.0810303, -0.482522,0.00153613, -0.0294937, -0.0109165, 0.999504
1677762685.604689585,15.5835, -0.0479003, -0.494358,0.0124554, -0.0248601, -0.0543726, 0.998133
1677762686.603796408,16.019, -0.146133, -0.499321,0.0150008, -0.0201211, 0.00501035, 0.999672
1677762687.603905265,16.2516, 0.0507287, -0.45533,0.0152588, -0.028755, 0.122101, 0.991984
1677762688.603768134,16.3732, 0.163249, -0.444761,0.0209278, -0.0359428, 0.193632, 0.980192
1677762689.603641727,16.8895, 0.300547, -0.436624,0.0260092, -0.031072, 0.237295, 0.970592
1677762690.603607209,17.2345, 0.552505, -0.424802,0.023635, -0.0329262, 0.232221, 0.971818
1677762691.603696217,17.7763, 0.65124, -0.432092,0.0143874, -0.0337598, 0.150805, 0.987882
1677762692.603209138,18.3151, 0.917444, -0.421937,0.0170397, -0.0389479, 0.107596, 0.993285
1677762693.603691594,18.7543, 0.97713, -0.412011,0.0172263, -0.0343082, 0.0380498, 0.998538
1677762694.604842182,19.2728, 0.944095, -0.39846,0.0134675, -0.0379055, -0.0555582, 0.997645
1677762695.603665809,19.7061, 0.88863, -0.407344,0.0175147, -0.0407842, -0.264905, 0.963252
1677762696.604380713,20.1395, 0.530116, -0.371191,0.0108382, -0.0347493, -0.413298, 0.909868
1677762697.603796866,20.3409, 0.300193, -0.396896,0.0100454, -0.0347384, -0.574783, 0.817507
1677762698.603442582,20.4631, 0.0108594, -0.392795,0.00100698, -0.025003, -0.737491, 0.674893
1677762699.605842003,20.3194, -0.652931, -0.425229,-0.0106923, 0.0153997, 0.872103, -0.488964
1677762700.603417554,20.2441, -0.826455, -0.421953,0.0106068, 0.0192673, 0.94596, -0.323537
1677762701.603054442,19.8751, -0.968704, -0.416167,0.0187757, 0.0229881, 0.991268, -0.128479
1677762702.605525602,19.5241, -1.02275, -0.415569,0.0162307, 0.00921454, 0.998045, 0.0596523
1677762703.604692887,18.8391, -1.07455, -0.413113,0.0131334, 0.0152756, 0.999121, 0.0367658
1677762704.604342826,18.1648, -1.04741, -0.453949,0.011978, 0.0214639, 0.999195, -0.0317124
1677762705.603763834,17.5607, -1.07548, -0.442326,0.0126343, 0.0180571, 0.993313, -0.113334
